iter	Passed	Remaining
961	21563	851
962	21584	829
963	21602	806
964	21622	784
965	21640	761
966	21660	739
967	21682	716
968	21704	694
969	21725	671
970	21745	649
971	21765	626
972	21785	604
973	21804	582
974	21824	559
975	21844	537
976	21865	514
977	21885	492
978	21904	469
979	21924	447
980	21945	425
981	21962	402
982	21986	380
983	22006	357
984	22025	335
985	22044	313
986	22074	290
987	22094	268
988	22114	245
989	22134	223
990	22157	201
991	22176	178
992	22196	156
993	22216	134
994	22234	111
995	22252	89
996	22272	67
997	22291	44
998	22311	22
999	22331	0
